sample_id,label,TOP2A,MKI67,CDK1,CCNB1,PCNA,EPCAM,SOX9,CD44,VIM,ZEB1,CDH1,CDH2,SNAI1,EPAS1,HIF1A,VEGFA,GPC3,TERT,AFP
TCGA-DD-A73F-01A,0,4.740209810974098,3.758708251884293,3.934752370963028,5.069031869126397,6.784705506441312,1.2692127238727529,1.8059527657173426,3.4296293534207267,6.11077247235166,2.4378136481879054,6.5704902545370105,4.248716983104503,1.0253832214779233,6.6076765190164535,4.4258687980106135,4.247525021318825,9.36700886109155,1.2059554671197439,6.84536961224432
TCGA-BC-A10Z-01A,0,5.065736009937339,3.5147408763806816,3.655672391893706,4.208197284381403,6.683061978080232,0.8258670184010849,0.09098888841477233,5.672855257607279,3.773774841766924,2.3968718904904587,6.740974768153611,5.983274103133978,1.263875732577862,6.316768458150087,4.323233143453923,5.242251887669987,10.279311449068153,2.052937507308091,1.1717832777518125
TCGA-BC-A69H-01A,1,4.326839316095551,3.3089287306671933,3.7843574026926183,5.785173874422658,7.6754941675262,7.06124372758887,5.692181669069013,3.3339961181964526,6.76870439538549,1.2111991396932615,5.306214839445716,4.905596398736839,2.539307726781253,5.348802499789941,3.6440985421845618,4.279553011380912,9.471914763158681,2.300885149409844,12.158092850810565
TCGA-DD-A4NL-01A,0,1.3317052164988923,0.7976770874242063,1.1155659959216035,1.887681229342992,5.559663115422855,1.5170236720645807,4.582387397748349,4.9131144030448635,5.464566987302082,2.7153662623791948,5.707541355735322,4.127567250981914,2.814447882856847,6.586228811395742,5.619278008407172,4.474449022906346,1.8703844486114578,0.015069321717648201,1.525166845373195
TCGA-G3-A5SM-01A,0,3.7160580523628504,1.8262739042206557,3.011763972334537,4.560886111529536,6.05402142468049,1.1411057604301305,3.276198865032242,3.1352064994306743,6.26607626013684,2.9320422679826725,6.165136131094301,3.5201204768282497,2.7531124300302316,5.74140226591959,5.141432790929295,3.6180036698402502,4.071651134092433,0.13776580809587857,1.0467005867416226
TCGA-CC-A123-01A,0,2.992732181694414,2.5508514250686556,2.9857372168763616,4.725043085281749,6.198262329438622,4.015274539592406,5.209207696638764,1.299244657796073,6.501119041544279,1.7780403222675234,5.8856353701452,5.073773113622404,0.6473605645196346,5.738116585889156,3.482603081500865,2.991861930556323,10.51053128093687,2.052102835708951,11.506179324819332
TCGA-DD-A39V-01A,0,2.254110241874721,1.93436552494456,2.554318704761821,4.11485839050022,7.28517099920619,0.07710624410597862,3.9686253259154585,5.3107181967844035,6.345415892237622,2.0255958358826835,2.1700211779058587,3.6849645702720006,0.8023173144035928,4.406516262266023,3.637355207687555,2.530744974646747,6.636746410763063,0.46821836153494933,4.389463561762737
TCGA-G3-A25V-01A,0,2.2921338631425416,1.2681349239248902,1.678387460140259,3.187213488633224,6.234417012715061,2.463387045054397,5.230310627269259,5.925406083141366,6.227775725976412,2.502075956045791,6.142176509268166,4.663521102439628,3.206236861829809,6.464722171042097,5.785328219382759,4.798532715406343,3.9730050509522505,0.0504668703506619,2.0115314195211287
TCGA-BC-A5W4-01A,1,2.420374603550824,1.0399805976908814,1.8554715093539256,4.503832096968143,6.086577858353502,0.9243279616891006,4.023370692311566,6.2064615473600435,3.6885608486051127,1.0509543732051583,6.832748268741537,4.990691703339892,0.21400042972960648,5.792303566933823,4.348791879230379,3.1226230269795834,7.932984180995949,0.04893364519792244,0.44583262420762776
TCGA-DD-A3A7-01A,1,3.3856243039661065,2.742351208785733,2.8020277370528026,4.482047997704646,5.180828142194766,0.11636475669178462,3.224441653213843,2.1261138535286728,5.292958394948641,1.5806279104572651,3.0771746231396144,3.0246565524206566,0.6405283852959444,3.9471705250905056,3.5210130353184255,2.876644634773139,8.748570249506392,1.016781550233402,3.7845772674636198
